Track,Artist,Album_Name,Release_Date,Spotify_Streams,Spotify_Popularity,YouTube_Views,TikTok_Likes,Shazam_Counts
PHONK BRASILEIRO FRESCO (Slowed + Reverb),DJ MOIGUS,PHONK BRASILEIRO FRESCO,2023-06-22,"1,378,494",34.0,"1,022,331","90,289,248","50,550"
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",2024-05-29,"2,827,545",0.0,"54,330,074",Unknown,"5,620"
vampire,Olivia Rodrigo,vampire,2023-06-30,"998,964,097",18.0,"113,450,524","152,624,014","4,872,257"
Casca de Bala,Thullio Milionï¿½ï¿,A Cara das Vaquejadas 3.0,2024-03-01,"37,157,630",74.0,"63,418,833","853,176","42,895"
Back,LOLA,Back,2022-08-03,"48,428",3.0,"2,123,978,358","102,828",Unknown
People,Libianca,People - Single,2022-12-05,"631,955,547",74.0,"305,998,382","243,797,561","6,121,126"
Jedag Jedug Capcut 2024,Afrian Af,Jedag Jedug Capcut 2024,2024-01-05,Unknown,0.0,Unknown,"37,591,836",Unknown
Lady Killers II (Christoph Andersson Remix),G-Eazy,Lady Killers II (Christoph Andersson Remix),2024-03-17,"94,635,338",0.0,"944,314","182,937,084","1,597,467"
I Don't Wanna Wait,David Guetta,I Don't Wanna Wait,2024-04-05,"114,574,238",84.0,"9,134,225","4,419,373",Unknown
Abc,J Ross,Abc,2023-02-14,"31,867",1.0,"1,538,564,650",Unknown,"1,178"
La Bachata,Manuel Turizo,La Bachata,2022-05-26,"1,721,045,197",81.0,"798,827,877","209,367,923","4,817,885"
ýýýýýýýýýýýýýýýýýýýýý,FLI:P,ýýýýýýýýýýýýýýýýýýýýý,2023-04-07,"8,028,757",44.0,"48,533,758","256,186,613","220,198"
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,Justice,2021-03-19,"1,612,286,123",74.0,"1,019,256,266","502,778,982","7,848,760"
Don't Start Now,Dua Lipa,Don't Start Now,2019-10-31,"2,607,121,959",78.0,"1,201,600,884","414,013,363","13,421,701"
Lucid Dreams,Juice WRLD,Lucid Dreams,2018-05-04,"2,548,389,305",78.0,"987,143,411","44,442,433","9,308,937"
PROVENZA,KAROL G,PROVENZA,2022-04-22,"1,185,929,926",76.0,"1,229,843,060","251,445,963","3,397,861"
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion),2020-08-07,"1,325,725,696",72.0,"1,329,826,741","1,183,499,351","4,618,794"
SPOT!,ZICO,SPOT!,2024-04-26,"77,757,035",81.0,"100,148,771","46,645,177","173,263"
Family Matters,Drake,Family Matters,2024-05-03,"72,335,127",86.0,"41,492,122",Unknown,"283,217"
Again,Kurochuu,Missing,2024-06-09,"136,237,285",2.0,Unknown,Unknown,Unknown
Seven (feat. Latto) (Explicit Ver.),Jung Kook,Seven (feat. Latto),2023-07-14,"1,673,557,134",80.0,"397,523,735","114,990,786","2,310,409"
Last Night,Morgan Wallen,3 Songs At A Time Sampler,2023-01-31,"922,010,059",79.0,"141,852,059","61,112,010","2,665,347"
Bad Habits,Ed Sheeran,#NAME?,2020-01-01,"1,754,311,538",74.0,"958,790,883","225,139,300","15,886,717"
QLONA,KAROL G,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,2023-08-10,"850,810,162",82.0,"258,553,384","58,820,722","1,537,093"
Leave The Door Open,Bruno Mars,Leave The Door Open,2021-03-05,"1,312,168,384",75.0,"993,324,548","369,280,607","10,288,388"
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,2022-01-05,"548,408",24.0,"1,356,336","334,009,036","69,763"
good 4 u,Olivia Rodrigo,good 4 u,2021-05-14,"2,167,768,056",79.0,"773,591,065","1,080,682,523",Unknown
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,"2,516,804,300",76.0,"1,779,243,626","177,247,662","18,994,040"
Seï¿½ï¿½o,Shawn Mendes,Shawn Mendes (Deluxe),2018-05-25,"2,738,293,818",74.0,"2,372,399,124","140,938,643","15,254,141"
DESPECHï¿,ROSALï¿½,DESPECHï¿,2022-07-28,"1,003,487,432",73.0,"621,874,255","476,447,290","3,205,234"
ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,2020-04-17,"1,638,836,101",70.0,"1,170,441,361","364,560,431","7,646,337"
Eyes Closed,Ed Sheeran,Eyes Closed (Piano Version),2023-03-23,"372,423,476",71.0,"131,308,671","38,959,591","2,886,987"
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,I Remember Everything (feat. Kacey Musgraves),2023-08-24,"630,373,315",84.0,"50,938,569","70,110,809","1,673,932"
Circles,Post Malone,Circles,2019-08-30,"2,481,391,466",80.0,"1,116,323,669","26,892,604","13,634,519"
EL AMOR DE SU VIDA,Grupo Frontera,EL AMOR DE SU VIDA,2023-08-03,"474,590,289",78.0,"577,930,708","32,754,141","1,173,817"
About Damn Time,Lizzo,About Damn Time,2022-04-14,"847,025,688",66.0,"106,024,874","1,522,267,606","5,445,721"
Closer,The Chainsmokers,Closer,2016-07-29,"2,880,536,961",80.0,"4,086,121,880","100,536,756","16,185,008"
FLOWER,JISOO,ME,2023-03-31,"440,364,356",70.0,"525,156,884","550,993,898","1,058,579"
PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar maï¿½ï¿,2023-10-13,"689,181,455",83.0,"183,381,482","49,332,435","930,098"
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,For All The Dogs,2023-10-06,"372,248,119",0.0,"86,580,734","20,713,030","2,131,059"
Havana (feat. Young Thug),Camila Cabello,Havana,2017-08-03,"2,072,182,782",75.0,"3,952,909,529","53,911,465","16,095,913"
LUNA,Feid,FERXXOCALIPSIS,2023-12-01,"606,124,553",86.0,"166,363,445","5,128,004","1,704,574"
I Like You (A Happier Song) (with Doja Cat),Post Malone,Twelve Carat Toothache,2022-06-03,"827,950,825",73.0,"299,001,099","118,133,115","3,384,275"
Bones,Imagine Dragons,Bones,2022-03-11,"1,227,475,431",78.0,"584,854,654","191,133,207","7,031,981"
Segï¿½ï¿½n Qu,Maluma,Segï¿½ï¿½n Qu,2023-08-17,"571,366,508",79.0,"475,200,526",Unknown,"1,703,294"
Selfish,Justin Timberlake,Selfish,2024-01-25,"92,932,220",0.0,"42,581,931",Unknown,"1,440,935"
golden hour,JVKE,golden hour,2022-07-15,"1,126,986,320",73.0,"293,553,015","313,934,124","3,897,680"
Levitating (feat. DaBaby),Dua Lipa,Future Nostalgia,2020-03-27,"2,074,721,986",77.0,"1,665,434,424","324,510,578","7,948,325"
Get It Sexyy,Sexyy Red,Get It Sexyy,2024-03-15,"89,362,910",84.0,"37,676,729","71,058,620","514,293"
"This Wish - From ""Wish""",Ariana DeBose,"This Wish (From ""Wish"")",2023-10-18,"26,674,909",19.0,"7,863,539","50,776,319","87,704"
IDGAF (feat. Yeat),Drake,For All The Dogs,2023-10-06,"406,875,019",0.0,"39,850,191","2,163,852","964,984"
Ojitos Lindos,Bad Bunny,Un Verano Sin Ti,2022-05-06,"1,421,763,497",78.0,"945,857,087","14,518,451","3,087,489"
Life Is Good (feat. Drake),Future,Life Is Good (feat. Drake),2020-01-10,"1,237,874,594",67.0,"2,430,804,498","77,631,196","5,329,382"
Escapism.,RAYE,Escapism. / The Thrill Is Gone.,2022-10-12,"804,925,777",75.0,"175,393,116","362,063,344","6,548,714"
Stargazing,Myles Smith,Stargazing,2024-05-10,"106,599,323",87.0,"10,331,471","279,000",Unknown
Jimmy Cooks (feat. 21 Savage),Drake,"Honestly, Nevermind",2022-06-17,"971,473,231",78.0,"198,796,965","85,725,313","3,142,892"
What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,"1,125,681,368",72.0,"306,628,096","345,484,397","3,908,069"
Memories,Maroon 5,Memories,2019-09-20,"2,011,072,164",77.0,"1,290,292,327","155,233,360","14,241,952"
Classy 101,Feid,Classy 101,2023-03-31,"872,148,396",78.0,"477,047,694","102,272,836","1,625,704"
Whatever,Kygo,Whatever,2024-01-19,"222,354,971",83.0,"45,439,562",Unknown,"1,421,900"
Whatever She Wants,Bryson Tiller,Whatever She Wants,2024-02-13,"207,093,873",87.0,"19,787,472","22,398,663",Unknown
Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),2023-08-04,"361,517,395",80.0,"37,192,341","1,804,060","4,372,188"
"yes, and?",Ariana Grande,"yes, and?",2024-01-12,"416,813,996",0.0,"115,105,080","5,912,130","1,028,262"
Without Me,Halsey,Without Me,2018-10-04,"2,042,792,456",75.0,"2,018,089,906","208,270,183","14,816,076"
meet the grahams,Kendrick Lamar,meet the grahams,2024-05-03,"65,520,394",0.0,"36,834,647","1,542,400","185,009"
First Person Shooter (feat. J. Cole),Drake,For All The Dogs,2023-10-06,"328,526,298",0.0,"61,769,035","267,545","1,198,582"
Shallow,Lady Gaga,Shallow,2018-09-27,"2,447,973,078",78.0,"2,732,311,956","11,103,476","153,863"
Thunder,Imagine Dragons,Thunder,2017-04-27,"2,384,768,901",79.0,"2,707,166,590","79,131,934","13,844,050"
Rush,Ayra Starr,Rush,2022-09-16,"371,886,608",67.0,"361,174,452","98,505,939","8,870,769"
abcdefu,GAYLE,abcdefu,2021-08-13,"1,128,273,165",70.0,"499,895,662","1,127,247,971","7,565,502"
Buga,Kizz Daniel,Buga,2022-05-03,"86,516,910",57.0,"266,679,537","119,876,546","3,876,226"
Bad Habit,Steve Lacy,Bad Habit,2022-06-29,"1,087,938,471",73.0,"147,472,695","360,938,850","4,118,983"
